Id;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence
155;2;6;120;5040;39916800;6227020800;355687000000000;121645000000000000;25852000000000000000000;8841760000000000000000000000000;8222840000000000000000000000000000
158;284;1494;4418;9982;16350;27206;41801;60217;136301;203293;274438
159;1;3;5;7;15;20;21;25;28;33;35
160;1;1;1;2;2;1;6;8;4;1;28
162;1;2;8;32;162;976;6832;54663;491971;4919711;54116823
163;0;1;0;-1;-1;-2;-1;-2;0;-2;0
164;2;5;10;11;15;18;19;21;25;26;28
165;1;0;0;0;800;8295;114625;920175;4627875;17257800;45069885
166;1;2;2;3;4;5;5;7;11;15;7
167;42;174;471;1043;2044;3682;6230;10038;15546;23298;33957
168;1;1;1;1;4;4;1;1;9;23;23
171;4;5;5;7;5;10;5;9;7;10;5
174;1;-5;129;-8133;941601;-173748453;46802237793;-17335300000000;8453550000000000;-5251000000000000000;4048140000000000000000
176;0;0;1;7;6;9;9;1;1;5;0
177;1;0;0;1;0;0;1;0;0;1;0
178;11;19;29;40;54;69;70;87;88;107;108
179;2;8;58;802;0;0;0;0;0;0;0
181;0;12;60;144;264;420;612;840;1104;1404;1740
185;196;105413504;56693900000000;30491300000000000000;16399000000000000000000000;8819760000000000000000000000000;4743480000000000000000000000000000000;2551160000000000000000000000000000000000000;1372070000000000000000000000000000000000000000000;0;0
186;2;6;7;8;10;11;17;18;21;23;24
188;0;1;2;3;4;6;8;12;18;27;41
190;1;1;2;7;1304;1311;2615;139906;142521;424948;1417365
192;2;6;12;20;38;53;106;200;369;657;1227
198;3;5;7;17;11;13;43;257;19;41;23
202;1;1;1;1;1;1;2;2;3;3;4
203;-1;1;1;-1;1;1;1;1;-1;1;1
204;2;1;2;1;2;1;2;5;4;7;8
205;3255;3257;3258;3259;3260;3261;3263;3264;3265;3266;3267
208;0;2;7;12;16;27;48;70;91;127;184
210;0;1;2;6;2;5;14;11;2;5;14
211;1;513;10097891;5170139875;10097900000000000;373998000000000;15092200000000000000000;7727180000000000000000000;4106540000000000000000000000000;4106540000000000000000000000000;0
212;1;120;8960;537600;28471296;1393459200;64678789120;2892810000000;125972000000000;5378780000000000;226309000000000000
213;113719;131797;139177;139397;193937;313979;317179;317399;331937;371719;739391
215;1;2;3;3;11;12;4;32;132;60;5
217;4;46;468;4689;468910;46891012;4689101214;468910000000;46891000000000;4689100000000000;468910000000000000
220;1;1;2;6;28;144;1259;9560;123102;1371022;23449585
221;0;1;2;3;4;5;7;8;9;10;11
222;1;3;3;3;4;6;5;3;4;6;6
223;5;-956;-375;163823028;15625;-15596200000000;-546875;1247220000000000000;17578125;-91597500000000000000000;-537109375
224;1;1;1;2;1;1;2;1;1;2;2
225;2;2;9;1;9;6;5;0;4;1;2
226;1;1;1;1;4;1;1;13;5;1;1
227;1;2;4;10;26;76;248;796;2654;8942;30952
229;1;1;2;5;16;42;147;454;1616;5413;20074
237;4;6;7;10;11;15;20;21;22;25;30
238;1;3;5;11;19;29;157;163;283;379;997
241;1;4;109;27908;87212609;4068990000000;3350990000000000000;0;0;0;0
242;0;2;4;10;12;16;18;28;40;42;44
244;1;2;3;4;5;6;9;8;7;10;17
245;1;2;8;-64;-5632;-205184;-240640;859820032;90170851328;1502450000000;-1320540000000000
246;0;2;4;6;8;10;3;2;5;4;7
249;1;1;3;7;22;66;227;768;2753;9971;37279
251;1;3;3;4;3;4;5;4;6;6;5
254;1;1;1;3;7;22;65;212;697;2372;8179
255;1;-1;4;1;-24;50;-1;114;-950;1350;31
256;1;1;4;6;13;12;29;22;46;48;72
258;0;0;0;0;10;58;347;2130;14039;103927;0
259;24;9605;20592;90567;989420;890539329;8268706687;359750000000;882033000000;10602500000000;103001000000000
262;1;1;4;19;73;412;2660;21449;184541;1827841;20043736
263;2;7;8;13;37;43;50;55;85;217;223
264;0;1;2;3;4;5;6;7;8;64;65
266;1;1;2;3;4;6;8;11;14;19;24
268;0;1;2;2;2;2;3;3;3;3;3
271;0;1;2;3;4;5;6;7;8;9;10
272;2;7;63;1234;55447;5598861;1280128950;660648000000;770548000000000;2030050000000000000;12083400000000000000000
275;1;1;2;1;1;1;3;1;3;3;4
276;2;4;4;6;16;6;10;36;36;9;16
277;31;41;59;61;71;101;103;113;131;151;167
278;1;6;9;46;117;636;2596;13343;66452;354806;1898800
280;0;1;4;7;19;34;54;78;90;213;307
282;1;2;8;11;16;19;23;31;32;43;64
284;1;-2;-2;-1;4;11;16;11;3;-10;-55
286;1;2;3;4;6;8;9;10;12;14;15
288;0;2;12;30;56;90;132;182;240;306;380
289;1;0;1;5;16;49;153;480;1505;4717;14784
290;93696;1809324;41876592;965476188;22293930744;514287000000;11814400000000;271626000000000;6242910000000000;143499000000000000;3298290000000000000
293;1;1001;1002001;1003003001;1004010000000;1005010000000000;1006020000000000000;1007020000000000000000;1008030000000000000000000;1009040000000000000000000000;1010050000000000000000000000000
294;1;7;11;49;154;121;343;1617;2541;1331;2401
295;1;2;5;3;3;27;7;37;4;4;171
296;1;1;1;2;1;3;2;6;1;4;5
297;3;5;5;3;7;9;7;3;5;1;5
298;1;3;12;84;924;2772;80388;3778236;35893242;1471622922;292853000000
299;1;1;0;1;4;19;112;771;6088;54213;537392
300;7;3;1;1;3;14;3;1;1;3;14
302;2;0;2;9;8;8;3;2;1;2;8
303;1;2;6;19;66;243;934;3702;14991;61728;257760
304;1;1;1;2;1;2;3;1;2;4;3
305;7;7151;109873;956953279;3497140000000000000000000000000000;0;0;0;0;0;0
306;0;0;1;2;2;3;8;12;12;13;16
308;9117926;0;0;0;0;0;0;0;0;0;0
310;1;2;23;31;32;38;39;54;59;67;68
311;1;-3;1;2;2;-2;-1;0;-4;-2;5
313;1;-29;1201;-2610;957359;-364530;164387161;-40455870;12538929119;-4363782714;260583000000
315;1;1;5;13;59;191;895;3233;15359;58481;280269
317;4;10;4;10;4;10;4;10;4;10;4
318;-4;0;20;120;620;3120;15620;78120;390620;1953120;9765620
319;4;13;7;20;45;10;161;112;50;13;273
320;1;5;34;504;12656;595218;51772998;8410205156;2530820000000;1415640000000000;1467800000000000000
323;3;15;49;143;406;1174;3507;10674;32965;102716;321797
326;1;68;71586;376922368;6239550000000;251495000000000000;20987300000000000000000;3241520000000000000000000000;853542000000000000000000000000000;359842000000000000000000000000000000000;0
327;3;8;4;5;7;1;7;5;0;5;0
328;0;36;432;1296;15552;139968;559872;5038848;40310784;181398528;0
329;10;1010;1210;101010;101210;121010;121210;123210;10101010;10101210;10121010
332;2;125;1452;37584;631750;13344409;248864088;4964424625;95464562688;1872710000000;36340300000000
334;1;1;-2;7;-27;114;-506;2322;-10919;52316;-254369
335;1;3;15;315;2835;155925;6081075;638512875;10854718875;1856160000000;194896000000000
336;1;1;1;2;2;1;5;4;4;1;14
339;22;89;111;1199;3708;12323;126938;139261;683982;30234469;121621858
340;1;1;3;2;8;6;23;17;68;51;205
347;3971;4003;4007;4019;4027;4039;4051;4059;4079;4083;4091
350;1;0;6;2;6;5;2;4;1;6;0
352;11;29;55;89;131;181;253;323;417;505;621
354;0;1;0;1;1;3;3;1;0;1;6
359;1;1;1;1;2;3;1;3;5;9;1
361;1;1;3;19;41;60;3161;3221;9603;60839;131281
366;0;3;3;6;6;9;9;12;12;15;15
372;1;3;11;45;193;852;3840;17629;81756;382418;1803203
373;1;2;3;5;7;8;11;13;17;18;19
374;1;14;42;-14;-70;-42;70;-140;42;126;210
377;1;1;4;44;1546;180096;69656776;90247564712;398349000000000;6107200000000000000;331156000000000000000000
378;4;2;6;4;2;2;2;2;4;2;2
379;173;68099;76487;96377;336593;488909;1388381;2625929;2757767;3189287;3296021
386;1;1;1;2;3;5;3;5;9;14;4
387;2;11;19;23;71;863;3989;0;0;0;0
392;1;1;331;8401;80581;464881;1950271;6568801;18837001;47763361;109889011
394;1;1;2;1;3;3;3;1;4;6;8
395;1;1;2;2;3;3;3;2;1;1;2
400;279936;410338673;13492928512;137231000000;781250000000;3142740000000;10030600000000;27136100000000;64847800000000;140710000000000;282622000000000
403;0;1;2;3;4;5;6;7;8;9;10
406;41;20;13;10;7;6;718;1350;12472;0;0
408;13;241;3969;63309;1012165;16187585;258892017;4140512637;66219989569;1059070000000;16937900000000
410;1;1;3;4;23;119;618;737;2092;2829;149200
415;0;0;1;5;0;3;7;5;9;3;9
420;1;109;11989;1318681;145042921;15953402629;1754730000000;193004000000000;21228700000000000;2334970000000000000;0
421;1;2;2;2;1;2;3;3;2;4;7
425;1;4;16;73;388;2396;17024;137544;1248816;12603288;140018688
426;1;2;3;6;10;13;14;18;32;52;113
428;0;0;0;0;3;4;12;15;40;51;135
429;239;337274;487335857;711859000000;1043090000000000;1529320000000000000;2242290000000000000000;3287570000000000000000000;4820040000000000000000000000;7066800000000000000000000000000;0
430;68;70;71;72;73;75;76;77;78;97;98
431;1;0;0;0;0;0;0;0;0;0;0
434;1;11;53;67;109;121;137;151;179;193;263
436;1;4;11;34;101;304;911;2734;8201;24604;73811
437;1;1;1;2;2;1;2;4;3;1;3
438;1;8;2;12;4;10;6;16;3;18;7
439;5;8;7;1;0;8;8;2;9;4;7
441;81;181;281;381;481;581;681;781;819;881;981
443;1;1;1;1;-1;1;1;-1;-1;1;1
444;1;1;1;2;1;1;1;1;2;2;3
447;1;4;2;9;7;1;5;9;2;2;6
448;0;1;3;10;30;90;270;810;2430;7290;21870
451;1;1;1;2;1;1;1;2;3;2;1
455;1;2;8;8;7;7;4;8;0;6;4
458;1;6;2;8;1;6;0;1;2;9;7
461;0;960;10800;60480;235200;725760;1905120;4435200;9408960;18532800;34354320
463;5;18;456;1056;29184;67584;1867776;130154496;0;0;0
464;1;1;2;4;13;35;111;293;718;1741;4273
466;1;1;6;6;2;4;3;6;1;6;1
467;5;31;89;109;271;331;571;599;661;709;719
469;1;1;3;5;9;16;28;50;87;153;269
470;-2;-1;1;-2;1;4;-2;0;-1;0;7
475;1;1;1;3;6;18;58;251;1410;10311;0
477;0;1;2;3;4;5;6;7;8;9;11
479;26;27;269;296;1157;1453;2610;6673;9283;43805;228308
483;1;3;15;57;249;1011;4263;17625;73617;305859;1274271
486;1;2;257;512;514;544;640;680;768;816;960
490;1;0;-1;1;0;2;-1;-2;1;0;16
492;2;3;5;7;10;11;13;17;19;20;23
494;1;0;0;0;4;0;0;0;4;0;0
499;3;2;2;6;2;7;6;3;2;6;9
502;13;47;73;157;167;263;467;757;877;887;2027
503;1;4;9;4;25;36;49;4;9;100;121
505;1;17;305;5473;98209;1762289;31622993;567451585;10182505537;182718000000;3278740000000
506;1;1;1;3;1;5;3;7;1;9;5
510;8;32;104;330;1076;3702;13314;49312;185786;706912;2706218
511;1;0;2;0;3;0;4;2;5;4;6
515;1;2;3;4;5;3;7;8;9;5;11
516;1;1;-211;4241;-57453709;29825987;-7362680000000;198504000000000;-415990000000000000;730328000000000000;-628192000000000000000000
517;8;20;12;56;20;24;164;32;56;36;488
518;11111100000000000000000000000000000000000000000000000000000000000000000000000000;1010000;2222;1100;310;212;143;120;88;80;73
519;1;1;4;13;52;214;928;4141;18940;88258;417616
520;1;0;4;0;14;8;40;32;105;112;284
521;1;1;2;1;7;3;3;0;1;3;9
525;19;58;77;366;443;1695;64853;196254;261107;1240682;1501789
526;1;1;1;1;2;3;1;3;9;11;1
533;2;1;4;3;7;9;5;11;6;14;8
534;1;2;3;4;5;7;21;938;17797;44045;87001
535;1;3;5;6;8;10;11;13;15;16;18
540;4470;80313;838203;6691695;45640599;281028327;1611684231;8775528135;45938694471;233202000000;1155030000000
541;1;5;19;75;295;1161;4569;17981;70763;278483;1095951
546;3617;16320;534790080;234174000000;17524000000000;498047000000000;7673650000000000;77480200000000000;574226000000000000;3360140000000000000;16320500000000000000
549;1;2;4;8;15;16;30;32;35;39;51
554;1;7;100;786;4420;19404;71188;226512;644231;1670015;4008200
555;1;1;2;2;3;3;4;4;0;0;1
556;1;1;4;29;339;5406;109159;2664399;76219485;2499425650;92402751894
557;2;5;17;23;37;53;73;277;373;457;593
558;1;33;1056;33792;1081344;34603008;1107296256;35433480192;1133870000000;36283900000000;1161080000000000
559;1;1;1;1;1;4;1;1;5;5;1
566;1;1;16;729;65536;9765625;2176782336;678223000000;281475000000000;150095000000000000;100000000000000000000
568;0;1;2;5;19;65;259;1161;5927;33946;216090
569;0;1;1;2;9;731;390617900;59601400000000000000000000;211724000000000000000000000000000000000000000000000000000000000000000000000000;0;0
571;0;16;144;576;1600;3600;7056;12544;20736;32400;48400
572;1;5;6;1;5;5;2;8;1;2;8
578;2;5;7;13;19;29;37;41;43;47;59
579;1;2;3;4;5;6;7;8;9;2;3
581;512;768;1152;1280;1408;1664;1728;1792;1920;2112;2176
582;1;1;0;-1;-1;0;1;1;0;-1;-1
584;0;1;1;4;9;9;16;25;36;36;49
585;1;1;2;4;10;25;70;212;639;2000;6451
588;1;2;9;63;594;14058;25627437;5941440000000;150483000000000000000;2463740000000000000000000000000000;5941430000000000000000000000000000000000000000000000000
589;1;17;207;2245;23231;235677;2370967;23768645;237928911;2380278637;23806803527
590;4;28;108;268;544;972;1576;2392;3456;4792;6436
592;721;173;401;1411;2617;3379;4033;4795;6361;10443;17153
595;1;1;1;1;0;1;1;0;2;1;1
597;1000;1100;1200;1210;1300;1320;1331;1400;1430;1440;1452
598;65;621770;281089082;2022652202;2042832002;868591000000;872547000000;872569000000;6979300000000;20313700000000;20313800000000
601;1;14;114;675;2610;6576;14616;27423;65758;121590;200250
602;1;21;211;1689;84457;1689161;16891643;1351331869;2702663881;270266000000;2702660000000
604;1;2;1;1;1;1;1;1;2;0;2
606;1;1;1;3;7;5;5;5;7;7;1
608;1;4;7;6;8;3;6;9;4;2;0
609;2;1;2;7;8;2;7;8;0;2;4
610;2;1;3;1;3;1;4;3;1;3;4
611;1;4;3;7;3;6;3;10;3;6;3
612;41;105;169;233;297;335;361;425;489;553;617
614;1;1;1;1;1;1;1;1;1;2;1
615;1;2;3;4;5;7;13;36;47;68;89
618;1;1;5;6;65;71;349;420;4549;4969;24425
619;1;1;2;2;3;2;3;3;3;4;2
620;1;6;16;35;86;182;317;558;975;1514;2249
621;41;83;197;199;223;240;251;281;287;340;371
622;0;0;0;0;0;653;1542;2035;2460;7473;654
623;2;3;5;7;11;17;37;41;47;61;101
624;7;13;103;487;547;823;967;1063;3187;0;0
627;1;3;8;28;124;668;4248;31176;259488;2416032;24886080
628;0;1;11;50;160;387;792;1480;2511;4001;6104
630;1;1;1;2;1;2;1;4;3;2;1
631;1;-1;0;1;-1;0;1;0;-1;1;0
632;1;14;25;155;274;1691;2989;18446;32605;201215;355666
634;1;1;6;60;900;17880;441960;13064400;449386800;17630743200;776922000000
637;1;5;6;7;9;11;16;17;18;21;26
638;1;1;5;17;57;189;613;1949;6097;18825;57525
641;151;373;95959;9515959;159595151;159595951;15151595951;15951595151;95951515159;1515160000000;1515960000000
643;1;1;1;8;50;1233;15485;767560;14296434;1124811332;0
644;343;8967;88679;620839;3667623;19657127;99084199;479187879;2250222503;10338917287;46716074919
645;18;19;16;17;22;23;20;21;26;27;24
646;1;2;3;6;24;48;0;0;0;0;0
651;1;4;6;8;9;22;123;132;213;231;312
653;40;90;160;230;280;380;460;530;610;710;780
655;1;1;1;0;1;1;1;2;1;1;0
657;52;62;82;129;200;202;206;225;226;257;258
658;0;5;20;90;300;930;2610;6900;17295;41605;96660
659;2;2;3;2;3;2;3;3;2;3;5
660;0;1;2;3;4;6;7;8;9;11;12
661;1;16;74;350;1668;7986;38348;184524;889230;4290030;20714382
662;62;34;20;22;14;10;8;7;1;0;0
664;0;1;3;6;10;15;21;28;36;45;55
667;5;7;13;17;19;23;29;31;37;41;47
669;1;1;1;2;2;4;5;10;12;25;33
671;2;3;13;5;7;17;19;11;23;29;31
674;1;2;3;4;7;12;22;30;32;61;65
678;1;1;3;14;83;574;4433;37274;335751;3204616;32159272
682;1;2;3;4;5;6;7;8;9;14;59
683;14;50;72;194;306;396;770;1512;2052;2160;3074
686;0;1;2;11;101;111;1001;10001;10101;11011;100001
689;0;0;0;0;0;0;0;1;1;1;1
692;0;1;4;8;15;24;36;49;65;84;105
693;4;6;7;11;12;20;25;45;113;193;1214
694;1;3;11;67;629;7781;117655;2097159;43046729;1000000009;25937424611
696;2;10;-2;100;-30;2;1000;-400;50;-2;10000
697;1;1;1;1;1;1;15;25;133;219;1457
698;5;5;3;5;7;4;3;5;8;8;9
700;101;103;107;109;307;313;317;401;409;419;439
704;1;2;7;15;32;62;117;214;385;683;0
705;2;12;271;24950;9800058;16942485560;131898000000000;4704780000000000000;0;0;0
706;8;16;58;161;772;3293;15953;76735;383220;1900094;9560906
707;1;2;1;3;-2;1;7;-13;6;1;17
713;1;1;2;15;224;5665;215136;11466903;815542272;74626924833;8539310000000
714;1;3;4;1;7;9;2;5;4;13;15
718;28;57;85;2352;2437;7226;407093;821412;1228505;33991047;35219552
721;1;2;4;8;16;3;6;9;12;18;24
722;13;160;376;391;421;547;586;712;745;748;754
729;17;23;13;13;41;1627;37;17;73;431;89
730;1025024;101376;2843456;510528;2874672;704208;1787376;754144;1118048;353352;375208
731;2;3;5;6;18;19;22;47;57;58;63
732;1;2;3;6;18;79;463;3396;30073;314037;3796561
733;0;3;2;7;11;5;29;47;21;44;199
734;1;9;5;9;9;6;3;9;8;4;5
735;1;2;3;0;0;7;5;5;0;5;5
737;1;9;10;11;12;13;14;15;16;18;27
738;1;1;56;375375;577186000000;337144000000000000000;112387000000000000000000000000000;30035900000000000000000000000000000000000000000;0;0;0
744;13;21;33;52;81;126;196;304;471;730;1131
746;9;4;2;4;7;7;7;9;6;0;7
747;0;1;1;2;3;3;4;5;6;7;8
750;10;80;440;1820;6545;20630;59960;161840;412950;1002435;2335760
756;2;4;14;47;184;761;3314;14997;69886;333884;1626998
759;1;1;2;2;6;10;19;32;61;109;203
764;0;1;3;10;31;105;343;1198;4056;14506;50350
766;1;3;5;7;9;15;19;25;27;53;57
770;0;4;96;4320;322560;36288000;5748019200;1220500000000;334765000000000;115243000000000000;48658000000000000000
771;-1;3;2;3;7;10;15;27;42;67;111
775;1;2;15;79;420;1744;6197;18715;50042;118121;250025
776;1;1;1;1;10;1;1;29;29;1;1
777;1;168;192528;16815456;397786704;4630192560;34416639936;187487000000;814894000000;2975530000000;9486530000000
780;1;2;2;3;5;3;4;10;11;4;5
784;15014557;27001043;29602093;50234633;87028433;91814759;94529221;103336843;112840309;113774329;113961299
785;1;2;11;80;780;8781;104828;1298506;16462696;212457221;2780615627
786;1;325521;132455000000;51329500000000000;20082700000000000000000;7842310000000000000000000000;3063600000000000000000000000000000;1196700000000000000000000000000000000000;467463000000000000000000000000000000000000000;0;0
789;12;12;12;12;13;13;13;23;23;23;23
790;1;2;2;3;4;4;5;6;6;7;7
792;1;1;210;3428059;87935111811;1541530000000000;16177600000000000000;101539000000000000000000;365618000000000000000000000;884268000000000000000000000000;1357040000000000000000000000000000
793;1;7;70;910;14560;276640;6086080;152152000;4260256000;132068000000;4490310000000
794;1;5;25;17;4;20;19;14;16;26;22
796;27931000000000000000000000000000;54888800000000000000000000000000000000000000000000;0;0;0;0;0;0;0;0;0
797;1;2;3;5;7;10;14;18;23;29;36
801;25;626;31325;783751;39218875;981255626;49102000175;1228530000000;61475700000000;1538120000000000;76967500000000000
803;1;1;1;1;1;1;1;1;1;2;2
804;1559;2999;3118;5998;6551;8089;8761;13102;13729;14759;16178
805;1;31;625;10395;155001;2155251;28559665;365471515;4555708201;55646962371;668890000000
807;1;4;13;59;205;973;3479;16882;61319;301486;1105973
809;2;7;1129;1327;19609;31397;155921;370261;1357201;2010881;20831323
810;3;7;15;28;50;86;145;241;397;650;1060
813;5;15;35;120;201;1505;2015;14070;37085;246753;445515
816;61;71;163;173;601;619;643;701;719;743;1609
817;0;0;1;0;1;0;1;2;2;1;2
820;0;1;4;13;22;43;52;73;94;151;160
823;0;0;1;14;81;578;0;0;0;0;0
824;1;1;1;1;2;1;1;1;3;2;2
826;1;0;2;6;1;9;23;2;34;88;9
827;1;7;22;63;127;280;463;855;1309;2135;3004
828;0;0;1;2;0;2;9;12;0;6;88
829;1;1;5;47;657;12219;283257;7837423;250764161;9046988147;359958000000
830;1;5;23;187;3126;99832;5396026;541886583;102749000000;0;0
831;5;6;5;2;3;2;0;0;3;3;0
832;2;5;13;17;29;37;41;53;73;89;137
833;1;2;0;0;0;0;0;0;0;0;0
834;0;1;31;721;14911;289201;5386591;97576081;1732076671;30276117361;522861000000
842;1;4;24;81;90;112;162;324;360;384;648
843;0;0;0;0;0;24;-360;720;2520;-15120;15120
847;1;2;2;3;5;3;4;9;10;4;5
848;1;99;1468;52291;1730105;46685074;1436535356;42144649101;1242940000000;36966200000000;1095660000000000
850;48;97;146;195;244;293;300;307;314;321;328
853;1;24;322560;21424900000000000;8829210000000000000000000000000000000000000;0;0;0;0;0;0
854;2;1;1;1;1;1;3;1;1;1;1
857;1;12;1221;12212112;1221210000000000;12212100000000000000000000000000;1221210000000000000000000000000000000000000000000000000000000000;0;0;0;0
858;1;4;9;16;20;25;36;49;50;64;81
859;31;39;112;120;193;201;274;287;359;363;436
862;13;13;71;733;1193;1193;1193;1193;1193;1193;1477271183
863;1;2;6;25;127;766;5365;42920;386283;3862837;42491212
865;1;0;0;4;25;165;1157;6552;33045;167928;894829
870;1973;3181;3967;4889;8363;8923;11437;12517;14489;19583;19819
873;1;2;5;19;167;7580;7828353;2414680000000;56130400000000000000000;0;0
874;1;1;126;7572;1725819;705002611;396804000000;278636000000000;231475000000000000;219738000000000000000;232554000000000000000000
875;1;1;1;1;1;4;1;6;6;192;1
876;1;2;3;5;12;4;17;6;7;8;27
881;0;1;28;1216;37324;700876;8719921;78503068;547643916;3114359073;14992411852
883;3;11;15;19;21;35;47;51;59;61;65
884;0;1;7;4;5;2;25;3;37;16;20
886;1;1;1;2;2;2;3;4;4;4;4
888;0;10;17;18;28;46;63;109;172;281;417
889;23;53;263;1283;2333;5843;6563;14543;19373;32363;41603
891;6;3;7;6;6;1;1;5;7;9;4
893;0;2;3;5;6;8;9;11;12;14;15
894;6255285;2025234324;719029000000;199027000000000;61221100000000000;19062600000000000000;5774670000000000000000;0;0;0;0
895;43;47;59;79;107;173;181;197;239;293;367
899;2;2;1;2;3;2;3;4;4;6;7
905;0;0;0;1;20;292;4317;69862;1251584;24728326;535333713
909;0;0;1;-2;0;-4;9;18;17;0;24
910;1;1;2;2;2;2;3;3;4;3;4
911;1;1;3;3;7;15;31;55;127;127;255
912;0;1;98;9602;940800;92179196;9031679608;884920000000;86704100000000;8495230000000000;832360000000000000
917;4;53122;412441;2360934421;2982905123;1968515515;8282454457;17281502461;88998300000000;858342000000000;2350400000000000000
920;7;13;19;21;28;31;37;39;43;49;52
923;0;1;4;12;31;70;141;259;442;711;1090
924;1;4;27;70;133;216;319;442;585;748;931
926;2;3;8;5;6;7;10;15;14;11;30
930;116;213013;1757594146;15249200000000;100953000000000000;0;0;0;0;0;0
931;1;0;1;0;1;1;0;1;4;1;0
932;21;55;39;51;203;87;111;123;371;183;335
933;1;1;1;4;19;91;476;2586;14421;82225;476913
934;23;30;76;83;129;136;182;189;235;242;288
935;22;4444;224444;442244;444422;666666;10123133;10123331;10143133;10143331;10153133
