Id;Sequence;Sequence;Sequence;Sequence;Sequence
1534;1;3;6;8;13
1535;1;1;1;1;2
1536;0;1;1;3;4
1538;1;2;4;6;9
1542;0;1;0;1;0
1545;1;2;4;12;38
1548;3;5;8;21;55
1549;1;1;2;4;6
1552;1;2;3;4;5
1553;1;0;0;0;0
1554;1;1;11;12;113
1556;1;1;1;1;1
1557;1;0;0;0;0
1558;1;1;1;2;1
1560;1;2;5;8;10
1562;3;29;263;2369;21323
1568;4;12;77;112;143
1569;0;1;1;4;22
1570;575;4393;871144;190754352;197499248
1571;1;1;3;11;47
1573;73;131;421;479;653
1575;9;18;25;36;50
1578;13;53;61;37;45
1579;29;71;113;173;229
1580;0;0;0;2;30
1582;0;11;0;3001;30011
1583;1;1;2;6;24
1585;1;7;45;297;2002
1588;8;7;6;5;4
1589;1;1;2;4;11
1591;4;8;9;16;64
1592;1;2;3;4;5
1593;1;-1;3;0;-3
1595;1;1;4;10;44
1597;1051;70;69;74;82
1600;503676;253372446;1,24517E+11;6,16159E+13;3,04246E+16
1601;-1;-2;-2;-2;-2
1602;1;2;1;1;3
1603;1;4;3;1;7
1604;2;2;-1;-3;2
1605;0;-1;0;-1;2
1606;1;2;24;3456;9953280
1607;1;5;28;293;3126
1608;0;1;2;3;4
1609;3;15;117;1216;15625
1611;1;1;1;1;1
1612;42135623;98078569;96718753;76948073;69480731
1613;1;4;10;15;20
1617;0;1;47;2488;138799
1620;0;1;3;2;6
1623;0;0;1;-1;2
1625;1;8;22;104;91
1626;1;2;4;5;7
1629;0;362880;3628800;29937600;239500800
1630;1;2;6;27;156
1634;2;2;2;2;3
1635;49;361;361;1600;8029
1636;1;5;10;11;14
1639;1;28;505;7500;100161
1640;1;2;3;5;7
1641;5;2;3;4;5
1642;1;2;3;4;9
1644;1;15;210;2940;41160
1649;1;1;2;1;3
1651;29;67;349;1009;3389
1656;1;3;12;55;276
1658;14;7;4;3;2
1659;0;3;4;10;12
1660;445480319;445480331;445480361;445480391;445480421
1664;1;1;3;21;181
1665;30;31;61;92;153
1666;2;4;10;12;14
1667;1;1;3;1;3
1669;0;1;1;7;68
1671;1;2;3;11;17
1673;0;1;1;1;1
1676;1;2;0;3;1
1679;0;1;6;34;190
1682;1;1;1;2;1
1683;1;5;20;80;320
1689;4;2;6;4;7
1690;9;25;32;121;243
1691;1;0;6;8;6
1693;1;9;251;2035;256103
1694;8;108;2500;19208;292820
1695;8;55;76;377;430
1703;82599811;88301507;105492718;108645779;132834767
1704;1;25;300;2300;12650
1706;4;124;1840;33484;545364
1711;1;1;2;10;74
1712;1;1;6;71;1311
1715;1;2;1;4;1
1718;1;1;5;13;105
1719;1;1;2;3;4
1724;1;0;1;0;-1
1725;1;2;3;4;7
1726;0;1;16;15;25
1728;1;3;7;39;63
1732;5;7;8;11;12
1733;3;4;1;5;8
1735;1;2;2;3;5
1736;0;1;1;2;3
1738;0;0;1;5;5
1739;4;9;2;5;4
1745;1;12;80;448;2304
1746;1;2;3;3;3
1748;25;1;2;4;2
1750;2;5;14;17;18
1752;1;1;13;32;56
1754;1;4;10;24;53
1760;0;1;3;5;7
1763;1;0;7;4;5
1764;2;9;0;0;0
1766;1;1;1;9;33
1767;3;0;6;6;9
1768;1;3;6;3;5
1771;4;164;528;1968;3844
1772;1;7;34;182;1107
1773;0;0;3;4;15
1774;1;7;85;1531;36745
1775;0;0;0;0;40
1778;0;0;0;0;0
1780;0;0;1;2;2
1782;10;208;8512;703744;117926752
1785;1;1;3;15;135
1786;1;15;85;295;771
1788;1;1;1;1;4
1789;1;1;1;1;-1
1793;2;3;4;5;5
1794;1;3;1;10;3
1797;1;5;119;5039;39916799
1801;1;2;3;4;6
1802;1;0;1;2;3
1803;1;4;9;25;49
1807;1;0;1;10;120
1809;37550402023;1,42914E+11;3,12471E+11;5,44502E+11;8,38597E+11
1811;0;1;-1;-1;6
1813;0;1;1;2;5
1814;1;1;4;18;89
1816;1;7;57;529;5509
1817;1;2;4;8;16
1819;1;12;42;96;170
1823;4;6;10;15;26
1825;1;17;197;2109;20185
1826;1;1;1;1;1
1830;17;71;1151;73727;294911
1831;1;9;1393;257875;47463376609
1834;1233;8833;990100;94122353;1765038125
1836;27880;485809;9967797;204518601;4005967518
1837;1;2;1;1;11
1838;2;2;1;8;7
1840;1;4;16;60;225
1845;1;5;25;105;678
1846;8;7;6;3;4
1847;1;176;3299;61597;1017676
1848;10;11;12;14;16
1851;13;37;94;117;175
1852;53;239;487;673;797
1853;1;6;29;146;729
1857;1;2;10;77;798
1860;1;0;0;0;0
1863;1;2;3;4;5
1864;0;1;2;3;4
1865;1;1;1;2;3
1869;1;1;1;40320;0
1870;0;1;2;5;11
1871;0;10;210;3210;43210
1872;0;46656;2985984;34012224;191102976
1878;1;2;7;22;87
1879;0;0;0;0;1
1881;1;2;4;11;27
1885;2;4;8;24;72
1889;0;1;10;100;1000
1890;3483;3491;3499;3511;3527
1892;0;1;2;10;20
1893;2;3;5;7;11
1894;1;5;43;469;6221
1896;2;10;8;16;14
1898;0;1;2;1;3
1899;0;20;820;1200;3440
1900;0;0;8;8;4
1902;0;2;40;402;2720
1907;1;4;9;24;47
1908;0;1;1;2;6
1910;4;64;5017600;2,00865E+15;5,12441E+27
1911;0;1;10;100;1000
1912;30;1;2;4;20
1914;85;277;325;337;340
1915;3;5;7;13;113
1916;2;4;6;6;4
1917;1;2;4;8;16
1919;20;312;9744;29280;53352
1922;124;485;103822;157463;164968
1924;3074;51458;904514;16820450;323378690
1926;3;27;243;2187;19683
1927;1;18;1067;133265;24424881
1929;4;3;3;2;2
1930;1;4;2;5;3
1931;3;83;113;163;353
1932;0;1;1;2;1
1935;1;-1;0;1;-1
1936;1;2;6;19;66
1937;4;10;25;34;38
1938;3;5;8;7;20
1939;2;1;-1;-4;2
1940;1;2;6;24;120
1941;8;29;32;37;53
1943;218034;2554848;93488811;3820547082;1,57611E+11
1944;1;1;8;20;98
1946;3;24;117;336;-237
1948;7;337;1627;57427;192637
1949;24;3;18;9;15
1950;1932;53181;650751;5617899;40053075
1952;1321;1489;1609;2161;2281
1954;1;-1;-1;0;-1
1957;-4;2560000;-1,91886E+19;2,62578E+40;-5,00744E+70
1960;29;1364;64079;3010349;141422324
1961;1;0;0;1;0
1962;0;1;3;4;5
1964;1;2;6;24;120
1966;1;2;5;17;92
1967;1;1;1;2;2
1968;1;3;9;26;70
1969;43;421;547;673;1051
1970;9;136;263;390;517
1972;30;42;99;174;188
1973;1;2;4;3;5
1976;3;217;57337;0;0
1977;37783;85601;259631;268721;350941
1978;2;3;2;3;2
1980;1;1;1;0;1
1981;1;3;6;9;19
1983;21;42;63;84;85
1988;1;2;4;5;13
1989;1;16;832;140608;77237056
